IUCR_Codes,Primary_Type,Secondary_Type,Felony_Class,Maximum,Minimum,Mean_Sentence,Severity
520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,X,6,70,38,0.76
555,ASSAULT,AGG PRO.EMP: HANDGUN,X,30,60,45,0.9
558,ASSAULT,AGG PRO.EMP: OTHER DANG WEAPON,X,30,60,45,0.9
557,ASSAULT,AGG PRO.EMP:KNIFE/CUTTING INST,X,30,60,45,0.9
550,ASSAULT,AGGRAVATED PO: HANDGUN,X,30,60,45,0.9
553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,X,30,60,45,0.9
552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,X,30,60,45,0.9
051A,ASSAULT,AGGRAVATED: HANDGUN,X,30,60,45,0.9
554,ASSAULT,AGG PO HANDS NO/MIN INJURY,X,10,15,12.5,0.25
545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,X,10,25,17.5,0.35
560,ASSAULT,SIMPLE,X,1,3,2,0.04
488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,3,2,3,2.5,0.05
498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,3,2,3,2.5,0.05
485,BATTERY,AGGRAVATED OF A CHILD,3,7,30,18.5,0.37
041A,BATTERY,AGGRAVATED: HANDGUN,3,2,6,4,0.08
430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,3,5,6,5.5,0.11
420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,3,5,6,5.5,0.11
496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,3,15,30,22.5,0.45
497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,3,15,30,22.5,0.45
495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,3,15,30,22.5,0.45
452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR,3,15,30,22.5,0.45
453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,3,15,30,22.5,0.45
483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,3,15,30,22.5,0.45
482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST,3,15,30,22.5,0.45
462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,3,15,30,22.5,0.45
479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,3,15,30,22.5,0.45
486,BATTERY,DOMESTIC BATTERY SIMPLE,3,4,15,9.5,0.19
454,BATTERY,AGG PO HANDS NO/MIN INJURY,3,4,15,9.5,0.19
440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,3,2,5,3.5,0.07
484,BATTERY,PRO EMP HANDS NO/MIN INJURY,3,2,5,3.5,0.07
460,BATTERY,SIMPLE,3,2,5,3.5,0.07
630,BURGLARY,ATTEMPT FORCIBLE ENTRY,2,4,4,4,0.08
610,BURGLARY,FORCIBLE ENTRY,2,4,4,4,0.08
650,BURGLARY,HOME INVASION,2,4,4,4,0.08
620,BURGLARY,UNLAWFUL ENTRY,2,4,4,4,0.08
266,CRIM SEXUAL ASSAULT,PREDATORY,1,15,30,22.5,0.45
263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,1,4,15,9.5,0.19
261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,1,10,30,20,0.4
265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,1,10,30,20,0.4
275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,1,15,30,22.5,0.45
291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,1,15,30,22.5,0.45
281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,1,15,30,22.5,0.45
1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,2,1,3,2,0.04
1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,2,1,3,2,0.04
1310,CRIMINAL DAMAGE,TO PROPERTY,2,1,3,2,0.04
1340,CRIMINAL DAMAGE,TO STATE SUP PROP,2,5,6,5.5,0.11
1320,CRIMINAL DAMAGE,TO VEHICLE,2,2,6,4,0.08
1335,CRIMINAL TRESPASS,TO AIRPORT,4,0.5,1,0.75,0.015
1350,CRIMINAL TRESPASS,TO STATE SUP LAND,4,3,5,4,0.08
1330,CRIMINAL TRESPASS,TO LAND,4,3,6,4.5,0.09
1365,CRIMINAL TRESPASS,TO RESIDENCE,4,3,6,4.5,0.09
1360,CRIMINAL TRESPASS,TO VEHICLE,4,3,6,4.5,0.09
1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,4,3,7,5,0.1
1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,4,3,6,4.5,0.09
1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,4,3,6,4.5,0.09
1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,4,3,6,4.5,0.09
1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,4,3,6,4.5,0.09
1200,DECEPTIVE PRACTICE,STOLEN PROP: BUY/RECEIVE/POS.,4,3,6,4.5,0.09
1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",4,3,6,4.5,0.09
1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,4,3,6,4.5,0.09
1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,4,3,6,4.5,0.09
1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,4,3,6,4.5,0.09
1155,DECEPTIVE PRACTICE,AGGRAVATED FINANCIAL IDENTITY THEFT,4,3,6,4.5,0.09
1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,4,4,6,5,0.1
1110,DECEPTIVE PRACTICE,BOGUS CHECK,4,4,6,5,0.1
1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,4,3,3,3,0.06
1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,4,3,3,3,0.06
1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,4,6,6,6,0.12
1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,4,3,5,4,0.08
1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,4,3,5,4,0.08
1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,4,3,5,4,0.08
1120,DECEPTIVE PRACTICE,FORGERY,4,3,5,4,0.08
1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,4,3,3,3,0.06
1670,GAMBLING,GAME/AMUSEMENT DEVICE,4,3,4,3.5,0.07
1661,GAMBLING,GAME/DICE,4,4,5,4.5,0.09
110,HOMICIDE,FIRST DEGREE MURDER,2,15,30,22.5,0.45
1050,HUMAN TRAFFICKING,COMMERCIAL SEX ACTS,X,20,30,25,0.5
3910,INTERFERENCE WITH PUBLIC OFFICER,BRIBERY,4,4,6,5,0.1
3800,INTERFERENCE WITH PUBLIC OFFICER,INTERFERENCE JUDICIAL PROCESS,4,4,6,5,0.1
3731,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING IDENTIFICATION,4,0.8,1,0.9,0.018
3730,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING JUSTICE,4,3,7,5,0.1
3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,4,3,7,5,0.1
3760,INTERFERENCE WITH PUBLIC OFFICER,OBSTRUCTING SERVICE,4,3,7,5,0.1
3970,INTIMIDATION,EXTORTION,3,3,7,5,0.1
3960,INTIMIDATION,INTIMIDATION,3,3,5,4,0.08
1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,2,30,50,40,0.8
4255,KIDNAPPING,UNLAWFUL INTERFERE/VISITATION,2,30,50,40,0.8
4230,KIDNAPPING,UNLAWFUL RESTRAINT,2,10,15,12.5,0.25
2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,4,2,5,3.5,0.07
2220,LIQUOR LAW VIOLATION,ILLEGAL POSSESSION BY MINOR,4,1,3,2,0.04
920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,4,1,3,2,0.04
910,MOTOR VEHICLE THEFT,AUTOMOBILE,4,1,3,2,0.04
918,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",4,1,3,2,0.04
917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",4,1,3,2,0.04
930,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,4,1,3,2,0.04
935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",4,1,3,2,0.04
915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",4,1,3,2,0.04
2012,NARCOTICS,MANU/DELIVER:COCAINE,1,4,15,9.5,0.19
2017,NARCOTICS,MANU/DELIVER:CRACK,1,10,50,30,0.6
2024,NARCOTICS,POSS: HEROIN(WHITE),1,10,50,30,0.6
2018,NARCOTICS,MANU/DELIVER:SYNTHETIC DRUGS,1,4,15,9.5,0.19
2021,NARCOTICS,POSS: BARBITUATES,1,4,15,9.5,0.19
2026,NARCOTICS,POSS: PCP,1,4,15,9.5,0.19
2028,NARCOTICS,POSS: SYNTHETIC DRUGS,1,4,15,9.5,0.19
2013,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN),1,4,15,9.5,0.19
2022,NARCOTICS,POSS: COCAINE,1,4,15,9.5,0.19
2027,NARCOTICS,POSS: CRACK,1,4,15,9.5,0.19
2025,NARCOTICS,POSS: HALLUCINOGENS,1,4,15,9.5,0.19
2029,NARCOTICS,POSS: HEROIN(BLACK TAR),1,10,50,30,0.6
2023,NARCOTICS,POSS: HEROIN(BRN/TAN),1,4,15,9.5,0.19
2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),1,4,15,9.5,0.19
2011,NARCOTICS,MANU/DELIVER:BARBITUATES,1,10,15,12.5,0.25
2020,NARCOTICS,POSS: AMPHETAMINES,1,10,15,12.5,0.25
2031,NARCOTICS,POSS: METHAMPHETAMINES,1,4,15,9.5,0.19
1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,1,10,50,30,0.6
1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,1,4,15,9.5,0.19
2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,1,15,30,22.5,0.45
2091,NARCOTICS,FORFEIT PROPERTY,1,15,30,22.5,0.45
2093,NARCOTICS,FOUND SUSPECT NARCOTICS,1,10,30,20,0.4
1821,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,1,10,15,12.5,0.25
1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,1,10,15,12.5,0.25
2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,1,4,15,9.5,0.19
2034,NARCOTICS,POSSESSION: SYNTHETIC MARIJUANA,1,4,15,9.5,0.19
2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,1,4,15,9.5,0.19
5114,NON-CRIMINAL,FOID - REVOCATION,4,0,0,0,0
5093,NON-CRIMINAL,LOST PASSPORT,4,0,0,0,0
1540,OBSCENITY,OBSCENE MATTER,4,2,3,2.5,0.05
1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,4,2,3,2.5,0.05
1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,X,30,60,45,0.9
1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,X,30,60,45,0.9
1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,X,30,60,45,0.9
1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,X,30,60,45,0.9
1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,X,30,60,45,0.9
1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,X,30,60,45,0.9
1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,X,30,60,45,0.9
1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,X,15,30,22.5,0.45
1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE/HEALTH CHILD,X,15,30,22.5,0.45
1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,X,10,30,20,0.4
1755,OFFENSE INVOLVING CHILDREN,CHILD ABANDONMENT,X,4,15,9.5,0.19
500N,OTHER OFFENSE,ABUSE/NEGLECT: CARE FACILITY,4,3,7,5,0.1
4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,4,3,7,5,0.1
5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,4,3,6,4.5,0.09
4625,OTHER OFFENSE,PAROLE VIOLATION,4,1,3,2,0.04
5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,4,1,3,2,0.04
4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,4,4,6,5,0.1
4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,4,4,6,5,0.1
4652,OTHER OFFENSE,SEX OFFENDER: PROHIBITED ZONE,4,4,6,5,0.1
4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,4,4,6,5,0.1
4389,OTHER OFFENSE,VIOLATION GPS MONITORING DEVICE,4,4,6,5,0.1
4386,OTHER OFFENSE,VIOLATION OF CIVIL NO CONTACT ORDER,4,4,6,5,0.1
5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,4,4,6,5,0.1
501A,OTHER OFFENSE,ANIMAL ABUSE/NEGLECT,4,4,6,5,0.1
5110,OTHER OFFENSE,GUN OFFENDER: DUTY TO REGISTER,4,1,2,1.5,0.03
2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,4,1,2,1.5,0.03
5011,OTHER OFFENSE,LICENSE VIOLATION,4,1,2,1.5,0.03
5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,4,1,2,1.5,0.03
5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,4,1,2,1.5,0.03
4510,OTHER OFFENSE,PROBATION VIOLATION,4,1,2,1.5,0.03
4388,OTHER OFFENSE,VIO BAIL BOND: DOM VIOLENCE,4,1,2,1.5,0.03
5130,OTHER OFFENSE,VIOLENT OFFENDER: DUTY TO REGISTER,4,1,3,2,0.04
502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,4,1,3,2,0.04
5111,OTHER OFFENSE,GUN OFFENDER: ANNUAL REGISTRATION,4,1,2,1.5,0.03
502T,OTHER OFFENSE,TAMPER WITH MOTOR VEHICLE,4,1,2,1.5,0.03
2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,4,1,3,2,0.04
2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,4,1,3,2,0.04
2820,OTHER OFFENSE,TELEPHONE THREAT,4,1,3,2,0.04
502R,OTHER OFFENSE,VEHICLE TITLE/REG OFFENSE,4,1,3,2,0.04
1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,4,1,1,1,0.02
1505,PROSTITUTION,CALL OPERATION,4,1,3,2,0.04
1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,4,2,3,2.5,0.05
1536,PUBLIC INDECENCY,LICENSED PREMISE,X,15,30,22.5,0.45
2851,PUBLIC PEACE VIOLATION,ARSON THREAT,4,5,5,5,0.1
2850,PUBLIC PEACE VIOLATION,BOMB THREAT,4,5,5,5,0.1
2840,PUBLIC PEACE VIOLATION,FALSE FIRE ALARM,4,5,5,5,0.1
470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,4,5,5,5,0.1
2890,PUBLIC PEACE VIOLATION,OTHER VIOLATION,4,2,3,2.5,0.05
2870,PUBLIC PEACE VIOLATION,PEEPING TOM,4,0.6,1,0.8,0.016
3300,PUBLIC PEACE VIOLATION,PUBLIC DEMONSTRATION,4,0.6,1,0.8,0.016
2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,4,1,3,2,0.04
331,ROBBERY,ATTEMPT: AGGRAVATED,2,3,7,5,0.1
033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,2,2,7,4.5,0.09
334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,2,3,7,5,0.1
337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,2,3,7,5,0.1
312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,2,3,7,5,0.1
330,ROBBERY,AGGRAVATED,2,3,7,5,0.1
326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,2,3,7,5,0.1
031A,ROBBERY,ARMED: HANDGUN,2,7,7,7,0.14
313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,2,7,7,7,0.14
031B,ROBBERY,ARMED: OTHER FIREARM,2,7,7,7,0.14
340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,2,3,7,5,0.1
320,ROBBERY,STRONGARM - NO WEAPON,2,3,7,5,0.1
325,ROBBERY,VEHICULAR HIJACKING,2,3,7,5,0.1
1565,SEX OFFENSE,INDECENT SOLICITATION/CHILD,X,30,60,45,0.9
1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,X,30,60,45,0.9
1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,X,30,60,45,0.9
5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,X,30,60,45,0.9
1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,X,30,60,45,0.9
1585,SEX OFFENSE,OTHER,X,30,60,45,0.9
1570,SEX OFFENSE,PUBLIC INDECENCY,3,1,3,2,0.04
583,STALKING,CYBERSTALKING,4,1,3,2,0.04
580,STALKING,SIMPLE,4,2,3,2.5,0.05
890,THEFT,FROM BUILDING,4,1,3,2,0.04
810,THEFT,OVER $500,4,1,3,2,0.04
820,THEFT,$500 AND UNDER,4,4,5,4.5,0.09
895,THEFT,FROM COIN-OP MACHINE/DEVICE,4,4,5,4.5,0.09
850,THEFT,ATTEMPT THEFT,4,0.5,1,0.75,0.015
865,THEFT,DELIVERY CONTAINER THEFT,4,0.5,1,0.75,0.015
870,THEFT,POCKET-PICKING,4,0.6,1,0.8,0.016
880,THEFT,PURSE-SNATCHING,4,1,1,1,0.02
860,THEFT,RETAIL THEFT,4,1,1,1,0.02
143B,WEAPONS VIOLATION,UNLAWFUL POSS OTHER FIREARM,4,2,3,2.5,0.05
1435,WEAPONS VIOLATION,UNLAWFUL SALE/DELIVERY OF FIREARM AT SCHOOL,4,2,3,2.5,0.05
141A,WEAPONS VIOLATION,UNLAWFUL USE HANDGUN,4,2,3,2.5,0.05
141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,4,2,3,2.5,0.05
1460,WEAPONS VIOLATION,POSS FIREARM/AMMO:NO FOID CARD,4,4,15,9.5,0.19
1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,4,4,15,9.5,0.19
143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,4,3,7,5,0.1
143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,4,3,7,5,0.1
141B,WEAPONS VIOLATION,UNLAWFUL USE OTHER FIREARM,4,3,7,5,0.1
2900,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,4,3,7,5,0.1
